"","ID","starting","assoc","g","b","m0","rho_plus","rho_plus_sd","q_plus_plus","q_plus_plus_sd","growth","n_recover","prob_recover","runtime"
"107",107,0.001,FALSE,0.02,0.08,0.05,NA,NA,NA,NA,4.69061876247505e-07,0,0,68.428
"108",108,0.001,FALSE,0.02,0.1,0.05,NA,NA,NA,NA,8.88223552894212e-07,0,0,74.732
"109",109,0.001,FALSE,0.02,0.12,0.05,NA,NA,NA,NA,2.58483033932136e-06,0,0,83.346
"110",110,0.001,FALSE,0.02,0.14,0.05,NA,NA,NA,NA,4.89021956087824e-06,0,0,87.932
"111",111,0.001,FALSE,0.02,0.16,0.05,NA,NA,NA,NA,7.07584830339321e-06,0,0,92.726
"112",112,0.001,FALSE,0.02,0.18,0.05,NA,NA,NA,NA,1.44111776447106e-05,0,0,97.332
"113",113,0.001,FALSE,0.02,0.2,0.05,NA,NA,NA,NA,2.24950099800399e-05,0,0,97.876
"114",114,0.001,FALSE,0.02,0.22,0.05,NA,NA,NA,NA,3.32534930139721e-05,0,0,99.176
"115",115,0.001,FALSE,0.02,0.24,0.05,0.0101666666666667,8.1649658092773e-05,0.474647836000048,0.033519111780255,5.55022859698784e-05,6,0.06,99.656
"116",116,0.001,FALSE,0.02,0.26,0.05,0.0101461538461538,7.89608625444607e-05,0.488924661870146,0.041228212944568,8.07975203082631e-05,39,0.39,93.336
"117",117,0.001,FALSE,0.02,0.28,0.05,0.0101735294117647,0.000110112082733131,0.49609204375169,0.0412920791885332,0.000107194989972495,68,0.68,86.834
"118",118,0.001,FALSE,0.02,0.3,0.05,0.0101584269662921,9.02131173238293e-05,0.495973311759983,0.0407927259869682,0.000136290432419889,89,0.89,74.824
"119",119,0.001,FALSE,0.02,0.32,0.05,0.0101752688172043,9.2848537225366e-05,0.517013349360454,0.038325167445823,0.00015550203987241,93,0.93,67.592
"120",120,0.001,FALSE,0.02,0.34,0.05,0.0101795918367347,0.000106450882796424,0.518597692522497,0.0457599503725953,0.000179216911823323,98,0.98,58.926
"121",121,0.001,FALSE,0.02,0.36,0.05,0.0101777777777778,0.00010647942749999,0.527152503851038,0.0355560577400103,0.000193573093152674,99,0.99,54.848
"122",122,0.001,FALSE,0.02,0.38,0.05,0.010194,0.000118764685429005,0.529574114482473,0.039205521982716,0.000230767288687371,100,1,46.432
"123",123,0.001,FALSE,0.02,0.4,0.05,0.010177,9.51925215634937e-05,0.533574529353098,0.0351949730030352,0.000234891667775055,100,1,45.266
"124",124,0.001,FALSE,0.02,0.42,0.05,0.010173,9.83243447355578e-05,0.539651737150247,0.0335730148260267,0.000254396613632989,100,1,41.296
"125",125,0.001,FALSE,0.02,0.44,0.05,0.010184,0.00010609696346534,0.541177851800515,0.0386591392165247,0.000270564921687123,100,1,38.874
"126",126,0.001,FALSE,0.02,0.46,0.05,0.010207,0.000119134081156189,0.546525936240004,0.037322976966843,0.000285185781654764,100,1,36.956
"127",127,0.001,FALSE,0.02,0.48,0.05,0.010209,0.000127995422897963,0.550903953206756,0.0368687937966436,0.000310139642549401,100,1,33.74
