"","ID","protect","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p"
"128",128,0.5,0.1,0.5,0.05,9,1222.82222222222,420.240412674036,0.843731069655365,0.644332217224721,0.00588795874143981,0.684390572629452,1.06219677562828,6228.77777777778,4,"UP",78.4183935339436,-1.40866135283436,0.0207055527673956,6.26968544596779e-85,NA,NA,NA,0.0117491364219763,0.000849764367395375,7.48592442716567e-25
"129",129,0.5,0.1,0.52,0.05,9,1113.04444444444,585.912448901521,0.857481418089527,0.662934010772392,0.00547516186938824,0.698800950269531,1.05412174306205,6507.88888888889,4,"UP",53.8967634567338,-1.7199654496515,0.0340176405574733,6.1793183675638e-62,NA,NA,NA,0.0142272766943109,0.00114605041227595,2.9949191746019e-20
"130",130,0.5,0.1,0.54,0.05,9,1301.13333333333,609.322771607955,0.861119529912766,0.679735693264479,0.00555217219031761,0.711885446229529,1.04731368949566,6659.66666666667,4,"UP",128.777909596328,-1.60879100109861,0.0458886234106287,2.92448224359898e-48,NA,NA,NA,0.0171294962381529,0.00183792217542878,3.67396206929169e-14
"131",131,0.5,0.1,0.56,0.05,9,1227.8,563.996285448761,0.841804557179825,0.695721827974901,0.00530383694274092,0.724553589501128,1.0414546534805,6899.33333333333,4,"UP",64.1774882649672,-2.1066199790464,0.0720290306762462,8.61172123690399e-35,NA,NA,NA,0.0231947876808899,0.00213225638705434,3.19630539271302e-15
"132",132,0.5,0.1,0.58,0.05,9,756.844444444444,165.198691816182,0.847892495715577,0.710049197623411,0.00503537265726549,0.736105514473166,1.03670809449513,7022.22222222222,4,"UP",77.9884250670857,-1.95273709119185,0.0628752997046743,4.0194626815323e-36,NA,NA,NA,0.0241060526564189,0.00208013566192301,2.86988623790794e-16
"133",133,0.5,0.1,0.6,0.05,9,1174.68888888889,587.958987609775,0.857835970896607,0.722880576378477,0.00519756504041667,0.74652387036045,1.0327180480689,7162.66666666667,4,"UP",35.7351367704113,-1.82099387326041,0.0645811294856134,2.20671058697361e-34,NA,NA,NA,0.0261237159346684,0.00269341947835145,1.64800163923828e-13
"134",134,0.5,0.1,0.62,0.05,9,1026.82222222222,229.670055611184,0.847495814844862,0.735040507524016,0.00506320996074554,0.756638018705803,1.02939208454913,7325.33333333333,4,"UP",41.1156904356476,-2.10394550185261,0.0760674446814238,3.79421539396728e-31,NA,NA,NA,0.0360787335501697,0.00286712826212901,8.19252621970427e-17
"135",135,0.5,0.1,0.64,0.05,9,1025.11111111111,493.793854873784,0.8430234766617,0.746543289466378,0.00492996206272455,0.766198592576995,1.02633650633306,7423.44444444444,4,"UP",40.3581191060458,-2.27341750911078,0.111166981418535,4.00709093454555e-23,NA,NA,NA,0.041425229593351,0.00357248511530734,1.60009507396523e-14
"136",136,0.5,0.1,0.66,0.05,9,1410.53333333333,850.939087126687,0.84735400606102,0.756816291854073,0.00461971225815816,0.774697133941709,1.02363187923461,7585.88888888889,4,"UP",38.5176727115114,-2.30472591700305,0.160163606106966,9.80504601166167e-17,NA,NA,NA,0.0517685093944192,0.00587404409409937,1.27705030562425e-10
"137",137,0.5,0.1,0.68,0.05,9,839.133333333333,364.925691066003,0.857066865071344,0.765915636626131,0.00486168316251089,0.782426473981463,1.02156278160068,7613.44444444444,4,"UP",60.320210359197,-2.1024439258326,0.10097981879135,1.49264897825409e-20,NA,NA,NA,0.0493213216081966,0.00387517584443838,2.80194815839039e-14
"138",138,0.5,0.1,0.7,0.05,9,1271.8,500.980219170378,0.858526238418805,0.775028796712755,0.00460609280862947,0.790313665528552,1.01972705163667,7734.77777777778,4,"UP",60.1327235741443,-2.16372090450078,0.154597076992346,1.1354572013714e-15,NA,NA,NA,0.0582791121433105,0.00534054585215188,1.18982514125529e-12
"139",139,0.5,0.1,0.72,0.05,9,1076.97777777778,435.378128119046,0.85229832562618,0.783258798378588,0.00458061576413919,0.7974453053503,1.01811725800795,7793,4,"UP",30.5286750449475,-1.92077844839704,0.080314677162245,4.30002143134706e-21,NA,NA,NA,0.0541254993013804,0.00347100791343839,6.22184963361287e-16
"140",140,0.5,0.1,0.74,0.05,9,997.288888888889,307.937479224454,0.863645346584316,0.791045566105836,0.00453202404220096,0.804152702851368,1.01657355059686,7892.55555555556,4,"UP",67.459452842265,-2.18120758287946,0.15067731279947,5.90501484777279e-14,NA,NA,NA,0.0801044528336853,0.00561390216160225,8.24833639252798e-14
"141",141,0.5,0.1,0.76,0.05,9,960.044444444444,533.093122988637,0.862280688794433,0.798163351657505,0.00429059084124843,0.810287493551189,1.01519396405822,7942.33333333333,4,"UP",55.0318089835324,-2.76037694131368,0.251119006387289,1.14540392142052e-11,NA,NA,NA,0.0933157274920455,0.0083620238666927,8.09868890757719e-12
"142",142,0.5,0.1,0.78,0.05,9,778.577777777778,202.304311482589,0.849221004755236,0.804950385918152,0.00439848760353872,0.816219802113502,1.0140039932854,8066.11111111111,5,"COV",46.6085948201736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",143,0.5,0.1,0.8,0.05,9,750.955555555556,261.054491970121,0.853538184486226,0.811357415736576,0.00441106456199424,0.821917781647812,1.01301925810488,8117.33333333333,5,"COV",44.1984162612191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",144,0.5,0.1,0.82,0.05,9,799.466666666667,377.151481503122,0.843207473595006,0.81742669776223,0.00415275024370981,0.827232599009635,1.01199916030264,8149.55555555556,5,"COV",28.062925324666,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",145,0.5,0.1,0.84,0.05,9,779.155555555556,209.461112805642,0.838871658981467,0.822949586317952,0.00418813440807385,0.832235204921433,1.01128643395398,8217.11111111111,5,"COV",26.8069228206281,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",146,0.5,0.1,0.86,0.05,9,809.333333333333,305.980603960447,0.836596272955649,0.827938830584708,0.00416833582008358,0.836651626045022,1.01052637696822,8284,5,"COV",30.1662062579967,NA,NA,NA,NA,NA,NA,NA,NA,NA
