"","ID","assoc","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p","mean_p_largest","predict_largest","mismatch_PL"
"2833",2833,TRUE,0.04,0.54,0.05,10,789.78,236.417135118793,0.845098466628697,0.812135092453773,0.00421713156701884,0.828940393259579,1.0206979410109,8132.3,5,"COV",51.5278781071201,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106382978723404,NA,NA
"2834",2834,TRUE,0.04,0.56,0.05,10,839.16,369.991372872396,0.849505827517714,0.823092223888056,0.00443347248888408,0.838036240051823,1.01816136063379,8232.7,5,"COV",32.9917498104535,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138888888888889,NA,NA
"2835",2835,TRUE,0.04,0.58,0.05,10,809.26,239.389242309117,0.849306614692323,0.832689510244878,0.00430801367466294,0.846173403763766,1.01619810007471,8343.6,5,"COV",60.4192758057302,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147058823529412,NA,NA
"2836",2836,TRUE,0.04,0.6,0.05,10,916.22,456.022313781537,0.856813927795738,0.841552688655672,0.00407974752977323,0.853624924507302,1.01434895298589,8416.2,5,"COV",57.9727905525035,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158730158730159,NA,NA
"2837",2837,TRUE,0.04,0.62,0.05,10,821.14,344.689297129394,0.847164462974761,0.849777006496752,0.00396995426379796,0.860711408036515,1.01287070377397,8530.8,5,"COV",25.0146623669666,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344827586206897,NA,NA
"2838",2838,TRUE,0.04,0.64,0.05,10,1025.74,522.801539145911,0.850885060592555,0.856757611194403,0.00389360985796234,0.866684346360082,1.01158899963208,8569.2,5,"COV",46.5350524992839,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285714285714286,NA,NA
"2839",2839,TRUE,0.04,0.66,0.05,10,1014.62,498.737690574915,0.840179953004699,0.863418710644678,0.00389601967225771,0.872490949143987,1.01051024239079,8610.5,5,"COV",44.1418169086865,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212765957446809,NA,NA
"2840",2840,TRUE,0.04,0.68,0.05,10,768.76,392.584414701688,0.838507151531521,0.869368540729635,0.00371939885479794,0.877748616438447,1.0096418077449,8672.6,5,"COV",37.5594343822043,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24390243902439,NA,NA
"2841",2841,TRUE,0.04,0.7,0.05,10,1160.36,512.879312639273,0.839145156154409,0.874950474762619,0.00375527184538406,0.88268075494355,1.00883758705354,8748.4,5,"COV",35.3339622585536,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37037037037037,NA,NA
"2842",2842,TRUE,0.04,0.72,0.05,10,878.12,339.8751692411,0.826110756481066,0.880204792603698,0.00364103457846122,0.88722667448449,1.00797958359368,8787.8,5,"COV",36.7598815135317,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37037037037037,NA,NA
